TOT Global CMP22 (vent/cor) [kW-hr/m^2],MAX Global CMP22 (vent/cor) [W/m^2],AVG Tower Dry Bulb Temp [deg C],MAX Tower Dry Bulb Temp [deg C],MIN Tower Dry Bulb Temp [deg C],AVG Tower RH [%],MAX Tower RH [%],MIN Tower RH [%],AVG Total Cloud Cover [%],MAX Total Cloud Cover [%],MIN Total Cloud Cover [%],AVG Station Pressure [mBar],MAX Station Pressure [mBar],MIN Station Pressure [mBar],AVG Precipitation [mm],MAX Precipitation [mm],MIN Precipitation [mm]
37615,6092910,93255,173400,9400,308036,1001000,119900,25750,130000,-10000,8086485,8115730,8053230,2,2540,0
36362,6278900,25849,76730,-6470,595851,1001000,244000,78511,930000,-10000,8109177,8172620,8056430,86,2540,0
37074,6091060,38294,83900,-12160,393405,686400,246300,23937,470000,-10000,8205424,8220800,8168480,0,0,0
35960,6046050,61045,151300,-22920,326883,748200,117300,34846,410000,-10000,8196849,8210600,8184960,0,0,0
36703,6040380,105456,177500,39480,219901,352300,108100,25630,120000,-10000,8173260,8189730,8155890,0,0,0
34592,6069990,100029,170600,54490,162302,259200,85300,83473,920000,-10000,8098073,8155810,8036150,0,0,0
10871,7114230,38176,81100,-6650,532368,1001000,147400,336812,990000,-10000,8025068,8062060,7998650,19,2540,0
26883,6548330,15626,78310,-18610,676503,1001000,304600,183933,970000,-10000,8064954,8085230,8025110,90,10160,0
34057,6477700,40566,98700,-28020,460377,785300,224200,54396,530000,-10000,8065462,8161210,7968640,0,0,0
34147,5992720,33565,95300,-33670,457820,703400,276000,25007,170000,-10000,8150627,8168160,8120640,0,0,0
20925,7006240,25671,113200,-64810,681871,1001000,310900,176792,990000,-10000,8155575,8255320,8096620,5,2540,0
34161,8333720,3774,82300,-96400,446030,1001000,77240,126660,960000,-10000,8204915,8256490,8167200,23,5080,0
33587,5606070,102842,175300,39800,164659,310100,84000,23194,110000,-10000,8171439,8183840,8153690,0,0,0
