TOT Global CMP22 (vent/cor) [kW-hr/m^2],AVG Tower Dry Bulb Temp [deg C],AVG Tower RH [%],AVG Total Cloud Cover [%],AVG Station Pressure [mBar],AVG Precipitation [mm]
3.7615,9.3255,30.8036,2.575,808.6485,0.0002
3.6362,2.5849,59.5851,7.8511,810.9177,0.0086
3.7074,3.8294,39.3405,2.3937,820.5424,0
3.596,6.1045,32.6883,3.4846,819.6849,0
3.6703,10.5456,21.9901,2.563,817.326,0
3.4592,10.0029,16.2302,8.3473,809.8073,0
1.0871,3.8176,53.2368,33.6812,802.5068,0.0019
2.6883,1.5626,67.6503,18.3933,806.4954,0.009
3.4057,4.0566,46.0377,5.4396,806.5462,0
3.4147,3.3565,45.782,2.5007,815.0627,0
2.0925,2.5671,68.1871,17.6792,815.5575,0.0005
3.4161,0.3774,44.603,12.666,820.4915,0.0023
3.3587,10.2842,16.4659,2.3194,817.1439,0
3.2939,9.5665,20.9955,5.2512,815.5522,0
3.1664,10.4317,18.6079,5.4277,810.0673,0
2.0228,2.1405,56.5531,18.2135,811.4696,0
0.7136,-7.151,100.1301,32.066,819.8277,0
1.4636,-9.3949,100.1288,27.4113,823.1887,0
2.646,-8.3251,91.7524,21.1903,818.1487,0.0044
1.425,-6.7747,91.9958,30.9485,815.251,0
3.0739,-4.2345,64.254,9.6071,811.6376,0.0025
1.6727,0.7199,26.6197,28.3619,812.2972,0
2.7391,4.6989,24.0982,5.5479,818.7151,0
3.0665,4.7859,30.8616,1.9262,820.8827,0
2.753,7.3119,23.6346,7.119,815.6856,0
2.0155,4.1623,31.6844,18.6618,822.4864,0
2.0215,5.696,17.1984,22.9493,823.3827,0
1.7133,11.018,14.9026,26.8051,816.6277,0
1.4494,10.3435,29.6575,20.2791,814.9308,0
1.426,14.4733,16.3983,31.4085,810.8204,0
1.9823,12.2034,17.884,25.2757,807.1276,0
2.0257,5.5544,43.6905,25.7822,804.6063,0
0.5775,-2.3236,92.3175,29.5804,809.4671,0
2.2658,1.3447,56.3746,16.2999,806.295,0.0044
2.8197,1.129,60.3969,2.0788,799.8836,0
1.3147,-6.1549,87.4304,31.2739,801.7524,0
2.8148,-3.3629,38.8803,7.875,808.315,0.0011
2.0688,-7.7032,53.5039,16.2042,813.06,0
2.8494,3.7001,34.6542,10.0653,814.5301,0
2.702,7.6481,27.0606,8.0175,813.4467,0
1.6386,4.9151,41.4002,21.5567,808.0868,0
2.7336,3.2829,34.9131,5.833,807.7047,0
2.6279,4.0424,49.4008,6.325,796.8104,0
2.3891,-0.642,40.9439,12.3876,798.6184,0
2.8424,-3.3969,27.2537,6.1542,808.1844,0
0.8141,-5.3014,68.9827,30.5965,806.8233,0
2.137,-8.9638,77.7264,19.8727,820.4323,0.0021
3.0022,-8.0711,56.7261,1.7387,814.2073,0.0004
2.7591,-7.589,64.8032,4.1618,803.0672,0
2.5702,-7.7901,56.2448,7.509,810.2965,0
2.5612,-7.9763,59.7656,11.8042,815.0072,0
2.6045,-8.5019,60.2466,11.2125,822.2262,0
3.1137,-4.3312,30.8286,1.9007,823.6478,0
3.0632,0.3561,20.0155,2.3201,822.4169,0
2.9419,2.6091,30.4364,2.2632,821.8481,0
2.8247,2.8839,40.1323,3.2715,815.7132,0
2.9291,4.0622,33.4792,1.9833,810.3244,0
2.6425,2.9167,43.0706,8.359,808.1892,0
1.7087,0.4394,73.1675,30.5785,806.2575,0
1.3287,-5.1331,99.9512,29.1715,810.23,0.0011
2.8426,-5.6644,79.9303,6.466,813.8877,0.0028
3.1954,-4.2969,57.9497,1.7236,814.3424,0
2.7464,1.3432,21.2353,15.9444,814.5584,0
2.5608,5.5356,14.7428,10.4875,816.8639,0
2.5619,7.5651,22.1519,20.0368,812.5482,0
3.2938,3.7663,24.8067,2.4493,806.0167,0
2.267,-2.0035,48.2982,19.0431,807.6473,0
2.7965,-1.762,36.0005,11.4764,811.4963,0
3.1671,-0.7406,47.1881,3.8069,813.5695,0
2.1494,5.6833,31.9184,25.5289,813.1421,0
3.154,2.2436,59.7651,4.8796,816.5056,0.0012
2.7963,3.6706,30.6913,26.7056,811.8945,0
3.4285,0.6872,34.8632,2.1368,821.4089,0
3.138,6.6317,33.3108,5.9146,819.0861,0
2.7913,8.9834,20.4231,7.3444,812.9208,0
2.7251,3.6256,41.4834,9.9674,806.4435,0
2.6817,-0.6237,62.2041,20.5868,814.834,0
3.5686,0.0797,34.0721,2.2,819.9571,0.0004
3.5805,5.6333,32.1489,2.4937,820.1411,0
3.634,8.7764,27.8556,2.3389,816.8445,0
3.3787,9.6971,19.8558,7.7278,809.4508,0
3.1885,7.4805,48.0337,16.6959,803.2154,0
1.2752,-2.8832,95.9945,34.6549,806.5816,0.0025
1.3906,-4.8178,100.022,34.8681,800.8845,0
2.7967,-7.7272,86.6304,34.1243,794.6084,0
4.1457,-7.3249,37.1603,2.5431,799.8402,0
2.8792,-3.0975,37.4822,20.5917,813.7803,0.0039
4.1321,-0.5872,30.7773,3.2257,821.7192,0
2.5254,5.632,27.3515,20.325,819.3337,0
3.4666,0.7148,52.857,10.3056,822.1453,0
4.091,2.0418,52.4609,3.3937,824.323,0
4.2672,8.6368,23.2644,2.3444,823.3473,0
3.7973,13.4046,10.9798,13.2375,820.1351,0
2.6762,11.2855,21.3054,23.9389,820.4064,0
3.6582,6.5071,50.7012,12.0965,822.3899,0
4.2578,9.8256,33.8851,7.2542,815.3517,0
3.1558,6.0149,35.1854,28.6382,812.8854,0
3.3046,8.7428,31.9957,23.4788,811.3348,0
2.614,5.8875,53.4257,25.0625,815.4417,0
4.3593,10.1143,23.4327,11.2832,813.5224,0
4.6018,13.0211,21.3595,4.3576,806.0547,0
4.5777,11.4352,11.4571,14.6986,813.3614,0
4.6585,10.0223,20.7571,7.9507,816.4928,0
4.6642,2.1994,45.649,5.8667,821.2039,0
3.3497,1.6054,59.8047,36.0111,813.9161,0
4.6836,-1.0756,64.7134,12.3424,820.1982,0.006
5.1219,2.7172,24.3981,2.7868,818.7662,0
5.0694,0.7743,40.1765,2.7861,822.0402,0
5.184,8.0277,29.3573,3.5431,820.8128,0
3.8621,12.5546,16.3735,22.6396,813.1743,0
5.2822,9.8007,21.038,4.3389,815.6594,0
4.7073,8.654,31.5902,10.9201,813.9305,0
