TOT Global CM22 (vent/cor) [kW-hr/m^2],AVG Tower Dry Bulb Temp [deg C],AVG Tower RH [%],AVG Total Cloud Cover [%],AVG Station Pressure [mBar],AVG Precipitation [mm]
3.7091,10.7752,32.6953,-0.1465,821.8893,0
3.6831,7.3327,51.6162,0.4319,825.7349,0
3.6487,7.398,47.5434,-0.6104,830.1801,0
3.3232,13.6976,15.6846,10.6125,820.8924,0
3.4858,9.697,36.3766,0.0681,814.643,0
3.1265,9.9747,23.6581,8.2757,804.0976,0
3.2197,7.3229,38.6107,6.9431,798.9809,0.0002
3.5857,6.1176,36.2215,0.6028,810.8769,0
3.5781,8.5512,26.2739,0.5889,817.6501,0
1.7424,10.3909,24.3113,29.209,810.8515,0
3.2872,9.0256,38.8098,8.3438,810.9656,0
0.988,-9.6067,96.6527,30.6396,823.086,0
1.5102,-4.1411,77.5836,33.8424,828.0511,0.0035
1.7895,-3.5039,72.2442,21.246,828.5735,0
1.2779,-1.4524,75.8189,32.1688,816.3089,0
1.5979,1.9252,56.7345,27.8896,820.9809,0
2.4798,3.0834,46.9879,8.1813,824.1623,0
3.136,9.7068,25.6364,-0.1201,818.7146,0
2.9441,3.6464,52.0509,5.2389,819.9428,0
3.1519,9.4125,28.1537,-0.2674,818.8935,0
3.1432,9.2048,20.4144,-0.275,819.8446,0
2.7765,8.0856,28.1254,10.2403,816.1954,0
2.6828,10.3236,28.7595,6.0139,807.1369,0
1.3687,2.119,53.6651,31.6285,802.908,0
1.1927,-15.0742,89.6649,32.7646,808.7405,0
3.2527,-18.298,81.2304,2.0063,812.911,0
2.6423,-18.2313,80.1126,14.8597,816.165,0
2.4182,-17.5537,84.4245,15.5417,811.0908,0
2.5349,-13.7294,82.6233,4.5708,807.3239,0
3.1425,-10.0323,51.5061,0.5014,814.1597,0.0002
2.9782,0.8136,34.4069,0.3576,814.7583,0.0023
2.9997,-2.8637,55.6694,-0.5181,821.8999,0
2.9913,5.9488,25.0506,-0.641,818.7733,0
2.8252,3.9761,33.7226,5.1951,813.0297,0
2.9266,2.1671,40.4114,-0.5576,820.3757,0
2.5741,8.2856,26.257,6.9236,818.6433,0
2.9986,11.2507,17.9625,1.0681,819.9597,0
2.8385,10.9827,18.8085,0.0748,821.718,0
2.9104,12.2547,16.6891,18.0951,812.3109,0
2.2969,2.5094,53.07,9.1653,806.2442,0
0.8325,-7.0852,94.5312,30.0819,806.4132,0
2.0556,-4.8655,85.0003,-1,804.6867,0
2.805,-2.4776,60.2489,2.3131,814.2058,0.0005
2.6447,-0.1888,65.2189,4.5265,819.7925,0.0007
2.952,5.1603,33.4813,1.8736,818.0874,0
2.9512,2.1296,24.6512,0.7931,822.9264,0
2.8391,7.7132,20.9645,5.4708,821.9668,0
2.8998,9.0534,28.693,0.9153,820.9577,0
1.7745,5.3641,47.2059,-1,815.042,0
2.9965,-3.1693,69.063,-1,817.3101,0.0023
2.996,3.8351,30.485,0.2403,817.9869,0
2.945,7.7019,29.6766,3.0729,814.9231,0
2.3694,0.6724,68.4432,12.5944,818.2591,0
2.468,1.485,46.62,9.1925,819.0392,0
3.1372,10.3938,23.1239,8.0403,808.2809,0
1.1761,-7.3504,93.4045,29.8236,812.0559,0
2.4993,-13.7869,84.8216,31.5875,818.6109,0
3.1435,-4.1045,45.0161,0.9625,818.1698,0.0005
0.9363,5.0566,34.7284,31.3,814.5235,0
2.7919,-0.5162,61.2766,3.2125,814.8622,0
2.9208,3.2735,38.2806,15.0715,808.9054,0
2.752,0.7932,33.986,4.8431,806.7721,0
2.2697,8.4857,31.5515,15.9868,810.166,0
2.5896,3.8372,30.2504,10.3986,807.5336,0
2.92,3.5729,27.9066,10.2701,813.4057,0
1.7051,-1.3809,71.0963,31.2424,822.2725,0.0012
2.2075,6.518,29.15,19.6764,818.0575,0
2.5655,3.8296,30.3259,18.8139,820.0968,0
3.3201,5.5364,28.9233,-0.1414,817.9643,0
3.3682,7.946,20.2765,-0.2424,819.4642,0
3.4863,11.735,13.2172,0.0924,816.2253,0
3.3685,5.2818,28.5273,0.5192,821.9424,0
3.5971,9.3896,9.1515,-0.5382,820.1971,0
3.1323,0.6383,41.2189,2.4188,818.2715,0
3.3922,-7.9364,79.0665,3.4382,824.9689,0.0016
3.5689,8.3076,14.2092,-0.4125,820.7216,0
3.5704,9.9686,25.8735,-0.6153,816.9859,0
3.0369,4.7155,40.9046,9.3021,813.0411,0
1.5879,-9.9011,90.9996,32.7493,816.5089,0
3.9883,-5.305,51.8804,0.5271,816.9107,0.003
2.5613,6.4664,29.7388,17.4583,808.0215,0
1.9885,3.4496,64.9493,30.5674,804.7588,0.0002
1.7552,-7.2394,97.7983,36.1569,807.1813,0.0007
1.3375,-7.6753,97.5519,33.9688,811.6152,0
4.1793,-8.9598,84.823,0.1389,812.3639,0.0021
3.8115,-6.6282,67.1979,11.0334,810.748,0.0002
2.1913,-12.6338,88.4804,32.9215,813.5727,0
3.8006,-21.628,82.7104,14.0389,819.9205,0
4.6016,-20.7231,80.1099,2.2625,813.1999,0
3.801,-2.6495,54.4313,6.0972,808.0173,0.0019
3.9968,3.5357,45.4579,1.5069,810.2065,0
1.3337,-7.031,98.057,36.8951,813.3419,0
2.3807,-4.5686,90.4352,33.9514,815.1824,0.0005
3.1633,2.5914,37.6092,25.85,815.0302,0
2.3663,3.142,48.3973,29.5382,813.5326,0
4.5771,9.1436,40.5102,2.4229,811.1638,0
4.1417,6.4583,34.4934,17.4215,813.3279,0
2.6203,6.0499,61.7729,31.9882,813.4855,0
3.6135,9.3693,38.432,16.2924,810.6108,0
4.2943,9.3161,13.5494,12.4938,814.2363,0
3.3631,10.3381,19.7195,18.5347,811.6096,0
4.2516,6.481,39.0928,5.9361,805.4151,0
4.5362,-2.0844,30.4694,7.725,811.4796,0
4.5773,3.8861,25.4867,3.4535,810.3862,0
4.2745,3.0147,47.7379,6.0187,810.6221,0
3.3466,-1.5067,92.4726,22.5194,813.654,0.0012
4.3415,3.4746,54.8959,16.6854,814.6797,0
2.2604,-8.1836,80.8916,26.7,817.6276,0
5.2736,-1.5981,60.9826,0.5174,814.556,0.0011
2.7742,6.8216,42.0992,29.9326,806.3685,0
4.9702,5.2431,53.2355,7.766,806.7959,0
2.1432,-9.3669,96.2724,39.816,811.0016,0
3.6705,-9.3522,86.4409,23.3243,815.5931,0.0018
4.6957,7.3375,35.1175,10.9917,814.7984,0
3.5299,6.8959,41.7639,29.9757,812.704,0
5.6665,4.2045,61.5048,-0.0875,817.867,0.0138
1.7623,11.877,21.1751,40.8667,812.2145,0
0.8771,2.3208,82.0948,41.5076,814.0517,0.0034
5.8943,3.8668,59.4259,1.7979,822.5306,0.0102
6.0221,13.7206,13.5672,5.1625,819.0476,0
3.2349,14.537,12.9152,29.1889,811.5819,0
1.476,1.561,63.4022,36.4493,815.3543,0
6.2533,1.2409,44.4343,1.1299,821.9271,0.0012
5.7818,8.4891,23.6238,8.3181,813.9592,0
6.2005,8.3829,28.0487,-0.2361,814.4798,0
2.4392,3.9324,43.3987,41.1035,817.5849,0
6.1436,6.8758,38.8134,1.6528,819.4731,0
5.0197,10.5393,22.5392,19.2049,803.2347,0
2.784,0.1937,44.7399,39.8993,809.8076,0
6.4669,4.4514,30.9441,4.6688,816.4494,0
6.3874,10.7338,11.3938,4.0771,812.8173,0
5.3164,2.5692,49.7428,18.6861,816.4851,0
1.6825,-3.4158,89.3229,44.2771,818.8679,0
7.0288,3.2817,55.0212,0.9451,817.5256,0.0011
4.0424,-0.5462,62.8429,23.1882,820.5023,0
6.7051,4.788,51.9216,4.0667,815.9672,0
4.684,10.1097,33.0061,22.6889,801.988,0.0002
6.768,6.781,39.2665,5.634,805.1565,0
6.4409,4.8118,36.8685,2.6903,816.2296,0
6.0201,10.2508,18.0371,15.5007,816.4482,0
4.7726,12.1716,23.4247,36.0382,806.8217,0
7.1908,6.6964,30.9428,2.5847,810.4955,0
4.5545,5.5857,48.1156,31.7236,808.4542,0
3.4759,1.7782,75.4664,38.2847,807.1411,0.0011
4.8956,0.8721,83.044,32.9757,813.0871,0.0108
5.5727,4.0724,45.1796,26.5754,815.2717,0
4.1225,6.2576,46.4465,31.9575,812.356,0
4.9044,6.3837,47.2405,23.3354,812.7684,0
4.7706,5.85,48.7795,34.5215,819.0811,0.0002
7.3696,12.7885,28.3954,0.8333,820.5844,0
5.7493,17.2477,17.1449,28.8792,815.6267,0
6.796,12.4896,40.2814,12.9479,815.8381,0
7.6016,16.0471,22.972,0.8986,814.4572,0
3.422,14.963,25.5814,45.7556,808.9302,0
1.5408,-2.403,102.3579,47.4116,813.4378,0.0014
7.9809,-2.8595,76.9317,0.316,821.3266,0.0085
6.1709,10.8357,20.5117,30.1549,811.5609,0
5.7246,7.6012,39.738,29.616,812.8055,0
7.5878,8.902,48.336,4.1493,816.5833,0
6.0859,17.0203,23.5594,22.3451,814.2906,0
3.6141,13.2324,49.8639,45.8632,816.9786,0.0032
5.6264,13.8944,47.4167,27.3938,818.0986,0
6.8466,12.7124,46.2008,11.7299,822.2166,0
5.8324,16.8493,33.8877,32.4694,812.3809,0
5.5942,13.4505,43.5136,27.4681,806.7869,0.0025
7.9366,10.1282,33.9566,9.4833,814.1088,0
5.5737,14.4873,24.7284,34.8701,810.0247,0
6.9143,16.0398,22.7393,30.1632,800.3616,0
1.5418,8.0996,32.7327,50.625,799.6556,0
8.5462,6.5187,27.2057,11.4667,808.829,0
4.4916,5.554,38.2498,38.1563,818.9951,0
